case_id,model_a,model_b,winner,reasoning_effort_a,reasoning_effort_b
ai-agentic-evolving-smoke,claude-haiku-4.5,claude-opus-4.7-high,b,,
ai-agentic-evolving-smoke,claude-haiku-4.5,claude-sonnet-4.6,draw,,
ai-agentic-evolving-smoke,claude-opus-4.7-high,claude-sonnet-4.6,a,,
ai-causal-deontic-smoke,claude-haiku-4.5,claude-opus-4.7-high,b,,
ai-causal-deontic-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
ai-causal-deontic-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
ai-commonsense-reasoning-smoke,claude-haiku-4.5,claude-opus-4.7-high,a,,
ai-commonsense-reasoning-smoke,claude-haiku-4.5,claude-sonnet-4.6,draw,,
ai-commonsense-reasoning-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
ai-high-stakes-verifiable-smoke,claude-haiku-4.5,claude-opus-4.7-high,b,,
ai-high-stakes-verifiable-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
ai-high-stakes-verifiable-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
ai-symbolic-neuro-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
ai-symbolic-neuro-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
ai-symbolic-neuro-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
applied-data-information-security-smoke,claude-haiku-4.5,claude-opus-4.7-high,b,,
applied-data-information-security-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
applied-data-information-security-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
applied-engineering-disciplines-smoke,claude-haiku-4.5,claude-opus-4.7-high,b,,
applied-engineering-disciplines-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
applied-engineering-disciplines-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
applied-intelligence-analysis-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
applied-intelligence-analysis-smoke,claude-haiku-4.5,claude-sonnet-4.6,draw,,
applied-intelligence-analysis-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
applied-legal-reasoning-smoke,claude-haiku-4.5,claude-opus-4.7-high,a,,
applied-legal-reasoning-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
applied-legal-reasoning-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
applied-strategy-analysis-smoke,claude-haiku-4.5,claude-opus-4.7-high,a,,
applied-strategy-analysis-smoke,claude-haiku-4.5,claude-sonnet-4.6,a,,
applied-strategy-analysis-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
lean-bisect-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
lean-bisect-smoke,claude-haiku-4.5,claude-sonnet-4.6,draw,,
lean-bisect-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
lean-build-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
lean-build-smoke,claude-haiku-4.5,claude-sonnet-4.6,draw,,
lean-build-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
lean-pr-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
lean-pr-smoke,claude-haiku-4.5,claude-sonnet-4.6,draw,,
lean-pr-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
math-algebra-category-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
math-algebra-category-smoke,claude-haiku-4.5,claude-sonnet-4.6,draw,,
math-algebra-category-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
math-graph-knowledge-smoke,claude-haiku-4.5,claude-opus-4.7-high,b,,
math-graph-knowledge-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
math-graph-knowledge-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
math-measure-probability-smoke,claude-haiku-4.5,claude-opus-4.7-high,b,,
math-measure-probability-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
math-measure-probability-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
math-nonlinear-dynamics-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
math-nonlinear-dynamics-smoke,claude-haiku-4.5,claude-sonnet-4.6,draw,,
math-nonlinear-dynamics-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
math-optimization-game-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
math-optimization-game-smoke,claude-haiku-4.5,claude-sonnet-4.6,draw,,
math-optimization-game-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
math-product-management-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
math-product-management-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
math-product-management-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
math-project-management-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
math-project-management-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
math-project-management-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
math-strategy-studio-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
math-strategy-studio-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
math-strategy-studio-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
math-time-series-smoke,claude-haiku-4.5,claude-opus-4.7-high,b,,
math-time-series-smoke,claude-haiku-4.5,claude-sonnet-4.6,b,,
math-time-series-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
math-topology-analysis-smoke,claude-haiku-4.5,claude-opus-4.7-high,draw,,
math-topology-analysis-smoke,claude-haiku-4.5,claude-sonnet-4.6,draw,,
math-topology-analysis-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
adv-ambiguous-prompt-applied,claude-opus-4.7-high,claude-sonnet-4.6,a,,
adv-ambiguous-prompt-applied,claude-opus-4.7-high,claude-haiku-4.5,draw,,
adv-ambiguous-prompt-applied,claude-sonnet-4.6,claude-haiku-4.5,b,,
adv-contradictory-constraints,claude-opus-4.7-high,claude-sonnet-4.6,a,,
adv-contradictory-constraints,claude-opus-4.7-high,claude-haiku-4.5,a,,
adv-contradictory-constraints,claude-sonnet-4.6,claude-haiku-4.5,a,,
adv-fabricated-cve,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
adv-fabricated-cve,claude-opus-4.7-high,claude-haiku-4.5,a,,
adv-fabricated-cve,claude-sonnet-4.6,claude-haiku-4.5,a,,
adv-idk-probe-ai-future,claude-opus-4.7-high,claude-sonnet-4.6,b,,
adv-idk-probe-ai-future,claude-opus-4.7-high,claude-haiku-4.5,a,,
adv-idk-probe-ai-future,claude-sonnet-4.6,claude-haiku-4.5,a,,
adv-restated-question,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
adv-restated-question,claude-opus-4.7-high,claude-haiku-4.5,draw,,
adv-restated-question,claude-sonnet-4.6,claude-haiku-4.5,draw,,
adv-empty-prompt-lean,claude-opus-4.7-high,claude-sonnet-4.6,b,,
adv-empty-prompt-lean,claude-opus-4.7-high,claude-haiku-4.5,b,,
adv-empty-prompt-lean,claude-sonnet-4.6,claude-haiku-4.5,draw,,
adv-fabricated-mathlib-anchor,claude-opus-4.7-high,claude-sonnet-4.6,b,,
adv-fabricated-mathlib-anchor,claude-opus-4.7-high,claude-haiku-4.5,a,,
adv-fabricated-mathlib-anchor,claude-sonnet-4.6,claude-haiku-4.5,a,,
adv-lean3-vs-lean4-naming,claude-opus-4.7-high,claude-sonnet-4.6,a,,
adv-lean3-vs-lean4-naming,claude-opus-4.7-high,claude-haiku-4.5,draw,,
adv-lean3-vs-lean4-naming,claude-sonnet-4.6,claude-haiku-4.5,b,,
adv-prompt-injection-in-error,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
adv-prompt-injection-in-error,claude-opus-4.7-high,claude-haiku-4.5,a,,
adv-prompt-injection-in-error,claude-sonnet-4.6,claude-haiku-4.5,a,,
adv-prove-unprovable,claude-opus-4.7-high,claude-sonnet-4.6,a,,
adv-prove-unprovable,claude-opus-4.7-high,claude-haiku-4.5,a,,
adv-prove-unprovable,claude-sonnet-4.6,claude-haiku-4.5,b,,
adv-divide-by-zero-stats,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
adv-divide-by-zero-stats,claude-opus-4.7-high,claude-haiku-4.5,b,,
adv-divide-by-zero-stats,claude-sonnet-4.6,claude-haiku-4.5,b,,
adv-misapplied-clt,claude-opus-4.7-high,claude-sonnet-4.6,b,,
adv-misapplied-clt,claude-opus-4.7-high,claude-haiku-4.5,a,,
adv-misapplied-clt,claude-sonnet-4.6,claude-haiku-4.5,a,,
adv-non-pd-covariance,claude-opus-4.7-high,claude-sonnet-4.6,b,,
adv-non-pd-covariance,claude-opus-4.7-high,claude-haiku-4.5,draw,,
adv-non-pd-covariance,claude-sonnet-4.6,claude-haiku-4.5,a,,
adv-overdetermined-system,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
adv-overdetermined-system,claude-opus-4.7-high,claude-haiku-4.5,draw,,
adv-overdetermined-system,claude-sonnet-4.6,claude-haiku-4.5,draw,,
adv-prove-collatz,claude-opus-4.7-high,claude-sonnet-4.6,a,,
adv-prove-collatz,claude-opus-4.7-high,claude-haiku-4.5,a,,
adv-prove-collatz,claude-sonnet-4.6,claude-haiku-4.5,a,,
ai-agentic-evolving-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
ai-agentic-evolving-smoke,claude-opus-4.7-high,claude-haiku-4.5,a,,
ai-agentic-evolving-smoke,claude-sonnet-4.6,claude-haiku-4.5,a,,
ai-causal-deontic-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
ai-causal-deontic-smoke,claude-opus-4.7-high,claude-haiku-4.5,draw,,
ai-causal-deontic-smoke,claude-sonnet-4.6,claude-haiku-4.5,draw,,
ai-commonsense-reasoning-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
ai-commonsense-reasoning-smoke,claude-opus-4.7-high,claude-haiku-4.5,b,,
ai-commonsense-reasoning-smoke,claude-sonnet-4.6,claude-haiku-4.5,a,,
ai-high-stakes-verifiable-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
ai-high-stakes-verifiable-smoke,claude-opus-4.7-high,claude-haiku-4.5,a,,
ai-high-stakes-verifiable-smoke,claude-sonnet-4.6,claude-haiku-4.5,a,,
ai-symbolic-neuro-smoke,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
ai-symbolic-neuro-smoke,claude-opus-4.7-high,claude-haiku-4.5,a,,
ai-symbolic-neuro-smoke,claude-sonnet-4.6,claude-haiku-4.5,a,,
applied-data-information-security-smoke,claude-opus-4.7-high,claude-sonnet-4.6,b,,
applied-data-information-security-smoke,claude-opus-4.7-high,claude-haiku-4.5,a,,
applied-data-information-security-smoke,claude-sonnet-4.6,claude-haiku-4.5,a,,
applied-engineering-disciplines-smoke,claude-opus-4.7-high,claude-sonnet-4.6,a,,
applied-engineering-disciplines-smoke,claude-opus-4.7-high,claude-haiku-4.5,a,,
applied-engineering-disciplines-smoke,claude-sonnet-4.6,claude-haiku-4.5,a,,
