case_id,model_a,model_b,winner,reasoning_effort_a,reasoning_effort_b
c001,claude-opus-4.7-high,claude-opus-4.7,draw,,
c002,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
c003,claude-opus-4.7-high,gpt-5.4,draw,,
c004,claude-opus-4.7-high,claude-haiku-4.5,draw,,
c005,claude-opus-4.7,claude-sonnet-4.6,draw,,
c006,claude-opus-4.7,gpt-5.4,draw,,
c007,claude-opus-4.7,claude-haiku-4.5,draw,,
c008,claude-sonnet-4.6,gpt-5.4,draw,,
c009,claude-sonnet-4.6,claude-haiku-4.5,draw,,
c010,gpt-5.4,claude-haiku-4.5,draw,,
c011,claude-opus-4.7-high,claude-opus-4.7,draw,,
c012,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
c013,claude-opus-4.7-high,gpt-5.4,draw,,
c014,claude-opus-4.7-high,claude-haiku-4.5,draw,,
c015,claude-opus-4.7,claude-sonnet-4.6,draw,,
c016,claude-opus-4.7,gpt-5.4,draw,,
c017,claude-opus-4.7,claude-haiku-4.5,draw,,
c018,claude-sonnet-4.6,gpt-5.4,draw,,
c019,claude-sonnet-4.6,claude-haiku-4.5,draw,,
c020,gpt-5.4,claude-haiku-4.5,draw,,
c021,claude-opus-4.7-high,claude-opus-4.7,draw,,
c022,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
c023,claude-opus-4.7-high,gpt-5.4,draw,,
c024,claude-opus-4.7-high,claude-haiku-4.5,draw,,
c025,claude-opus-4.7,claude-sonnet-4.6,draw,,
c026,claude-opus-4.7,gpt-5.4,draw,,
c027,claude-opus-4.7,claude-haiku-4.5,draw,,
c028,claude-sonnet-4.6,gpt-5.4,draw,,
c029,claude-sonnet-4.6,claude-haiku-4.5,draw,,
c030,gpt-5.4,claude-haiku-4.5,draw,,
c031,claude-opus-4.7-high,claude-opus-4.7,draw,,
c032,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
c033,claude-opus-4.7-high,gpt-5.4,draw,,
c034,claude-opus-4.7-high,claude-haiku-4.5,draw,,
c035,claude-opus-4.7,claude-sonnet-4.6,draw,,
c036,claude-opus-4.7,gpt-5.4,draw,,
c037,claude-opus-4.7,claude-haiku-4.5,draw,,
c038,claude-sonnet-4.6,gpt-5.4,draw,,
c039,claude-sonnet-4.6,claude-haiku-4.5,draw,,
c040,gpt-5.4,claude-haiku-4.5,draw,,
c041,claude-opus-4.7-high,claude-opus-4.7,a,,
c042,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
c043,claude-opus-4.7-high,gpt-5.4,draw,,
c044,claude-opus-4.7-high,claude-haiku-4.5,draw,,
c045,claude-opus-4.7,claude-sonnet-4.6,b,,
c046,claude-opus-4.7,gpt-5.4,b,,
c047,claude-opus-4.7,claude-haiku-4.5,b,,
c048,claude-sonnet-4.6,gpt-5.4,draw,,
c049,claude-sonnet-4.6,claude-haiku-4.5,draw,,
c050,gpt-5.4,claude-haiku-4.5,draw,,
