case_id,model_a,model_b,winner,reasoning_effort_a,reasoning_effort_b
code-001,claude-opus-4.7-high,claude-opus-4.7,draw,,
code-002,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
code-003,claude-opus-4.7-high,gpt-5.4,draw,,
code-004,claude-opus-4.7-high,claude-haiku-4.5,draw,,
code-005,claude-opus-4.7,claude-sonnet-4.6,draw,,
code-006,claude-opus-4.7,gpt-5.4,draw,,
code-007,claude-opus-4.7,claude-haiku-4.5,draw,,
code-008,claude-sonnet-4.6,gpt-5.4,draw,,
code-009,claude-sonnet-4.6,claude-haiku-4.5,draw,,
code-010,gpt-5.4,claude-haiku-4.5,draw,,
code-011,claude-opus-4.7-high,claude-opus-4.7,draw,,
code-012,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
code-013,claude-opus-4.7-high,gpt-5.4,draw,,
code-014,claude-opus-4.7-high,claude-haiku-4.5,draw,,
code-015,claude-opus-4.7,claude-sonnet-4.6,draw,,
code-016,claude-opus-4.7,gpt-5.4,draw,,
code-017,claude-opus-4.7,claude-haiku-4.5,draw,,
code-018,claude-sonnet-4.6,gpt-5.4,draw,,
code-019,claude-sonnet-4.6,claude-haiku-4.5,draw,,
code-020,gpt-5.4,claude-haiku-4.5,draw,,
code-021,claude-opus-4.7-high,claude-opus-4.7,draw,,
code-022,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
code-023,claude-opus-4.7-high,gpt-5.4,draw,,
code-024,claude-opus-4.7-high,claude-haiku-4.5,draw,,
code-025,claude-opus-4.7,claude-sonnet-4.6,draw,,
code-026,claude-opus-4.7,gpt-5.4,draw,,
code-027,claude-opus-4.7,claude-haiku-4.5,draw,,
code-028,claude-sonnet-4.6,gpt-5.4,draw,,
code-029,claude-sonnet-4.6,claude-haiku-4.5,draw,,
code-030,gpt-5.4,claude-haiku-4.5,draw,,
code-031,claude-opus-4.7-high,claude-opus-4.7,draw,,
code-032,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
code-033,claude-opus-4.7-high,gpt-5.4,draw,,
code-034,claude-opus-4.7-high,claude-haiku-4.5,draw,,
code-035,claude-opus-4.7,claude-sonnet-4.6,draw,,
code-036,claude-opus-4.7,gpt-5.4,draw,,
code-037,claude-opus-4.7,claude-haiku-4.5,draw,,
code-038,claude-sonnet-4.6,gpt-5.4,draw,,
code-039,claude-sonnet-4.6,claude-haiku-4.5,draw,,
code-040,gpt-5.4,claude-haiku-4.5,draw,,
code-041,claude-opus-4.7-high,claude-opus-4.7,a,,
code-042,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
code-043,claude-opus-4.7-high,gpt-5.4,draw,,
code-044,claude-opus-4.7-high,claude-haiku-4.5,draw,,
code-045,claude-opus-4.7,claude-sonnet-4.6,b,,
code-046,claude-opus-4.7,gpt-5.4,b,,
code-047,claude-opus-4.7,claude-haiku-4.5,b,,
code-048,claude-sonnet-4.6,gpt-5.4,draw,,
code-049,claude-sonnet-4.6,claude-haiku-4.5,draw,,
code-050,gpt-5.4,claude-haiku-4.5,draw,,
lean-001,claude-opus-4.7-high,claude-opus-4.7,draw,,
lean-002,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
lean-003,claude-opus-4.7-high,gpt-5.4,draw,,
lean-004,claude-opus-4.7-high,claude-haiku-4.5,a,,
lean-005,claude-opus-4.7,claude-sonnet-4.6,draw,,
lean-006,claude-opus-4.7,gpt-5.4,draw,,
lean-007,claude-opus-4.7,claude-haiku-4.5,a,,
lean-008,claude-sonnet-4.6,gpt-5.4,draw,,
lean-009,claude-sonnet-4.6,claude-haiku-4.5,a,,
lean-010,gpt-5.4,claude-haiku-4.5,a,,
lean-011,claude-opus-4.7-high,claude-opus-4.7,draw,,
lean-012,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
lean-013,claude-opus-4.7-high,gpt-5.4,draw,,
lean-014,claude-opus-4.7-high,claude-haiku-4.5,a,,
lean-015,claude-opus-4.7,claude-sonnet-4.6,draw,,
lean-016,claude-opus-4.7,gpt-5.4,draw,,
lean-017,claude-opus-4.7,claude-haiku-4.5,a,,
lean-018,claude-sonnet-4.6,gpt-5.4,draw,,
lean-019,claude-sonnet-4.6,claude-haiku-4.5,a,,
lean-020,gpt-5.4,claude-haiku-4.5,a,,
lean-021,claude-opus-4.7-high,claude-opus-4.7,draw,,
lean-022,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
lean-023,claude-opus-4.7-high,gpt-5.4,draw,,
lean-024,claude-opus-4.7-high,claude-haiku-4.5,a,,
lean-025,claude-opus-4.7,claude-sonnet-4.6,draw,,
lean-026,claude-opus-4.7,gpt-5.4,draw,,
lean-027,claude-opus-4.7,claude-haiku-4.5,a,,
lean-028,claude-sonnet-4.6,gpt-5.4,draw,,
lean-029,claude-sonnet-4.6,claude-haiku-4.5,a,,
lean-030,gpt-5.4,claude-haiku-4.5,a,,
lean-031,claude-opus-4.7-high,claude-opus-4.7,draw,,
lean-032,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
lean-033,claude-opus-4.7-high,gpt-5.4,draw,,
lean-034,claude-opus-4.7-high,claude-haiku-4.5,a,,
lean-035,claude-opus-4.7,claude-sonnet-4.6,draw,,
lean-036,claude-opus-4.7,gpt-5.4,draw,,
lean-037,claude-opus-4.7,claude-haiku-4.5,a,,
lean-038,claude-sonnet-4.6,gpt-5.4,draw,,
lean-039,claude-sonnet-4.6,claude-haiku-4.5,a,,
lean-040,gpt-5.4,claude-haiku-4.5,a,,
lean-041,claude-opus-4.7-high,claude-opus-4.7,draw,,
lean-042,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
lean-043,claude-opus-4.7-high,gpt-5.4,draw,,
lean-044,claude-opus-4.7-high,claude-haiku-4.5,draw,,
lean-045,claude-opus-4.7,claude-sonnet-4.6,draw,,
lean-046,claude-opus-4.7,gpt-5.4,draw,,
lean-047,claude-opus-4.7,claude-haiku-4.5,draw,,
lean-048,claude-sonnet-4.6,gpt-5.4,draw,,
lean-049,claude-sonnet-4.6,claude-haiku-4.5,draw,,
lean-050,gpt-5.4,claude-haiku-4.5,draw,,
