case_id,model_a,model_b,winner,reasoning_effort_a,reasoning_effort_b
lean-setup-import,claude-haiku-4.5,claude-opus-4.7-high,a,,
lean-setup-import,claude-haiku-4.5,claude-sonnet-4.6,a,,
lean-setup-import,claude-opus-4.7-high,claude-sonnet-4.6,a,,
lean-setup-import-lakefile-basic,claude-haiku-4.5,claude-opus-4.7-high,b,,
lean-setup-import-lakefile-basic,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
lean-setup-import-lakefile-basic,claude-haiku-4.5,claude-sonnet-4.6,b,,
lean-setup-import-lakefile-basic,claude-haiku-4.5,gpt-5.2,b,,
lean-setup-import-lakefile-basic,claude-haiku-4.5,gpt-5.4,b,,
lean-setup-import-lakefile-basic,claude-haiku-4.5,gpt-5.4-mini,a,,
lean-setup-import-lakefile-basic,claude-haiku-4.5,gpt-5.4,b,,long
lean-setup-import-lakefile-basic,claude-haiku-4.5,gpt-5.5,b,,
lean-setup-import-lakefile-basic,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-setup-import-lakefile-basic,claude-opus-4.7-high,claude-sonnet-4.6,a,,
lean-setup-import-lakefile-basic,claude-opus-4.7-high,gpt-5.2,draw,,
lean-setup-import-lakefile-basic,claude-opus-4.7-high,gpt-5.4,a,,
lean-setup-import-lakefile-basic,claude-opus-4.7-high,gpt-5.4-mini,a,,
lean-setup-import-lakefile-basic,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-setup-import-lakefile-basic,claude-opus-4.7-high,gpt-5.5,draw,,
lean-setup-import-lakefile-basic,claude-opus-4.7,claude-sonnet-4.6,a,default-effort,
lean-setup-import-lakefile-basic,claude-opus-4.7,gpt-5.2,a,default-effort,
lean-setup-import-lakefile-basic,claude-opus-4.7,gpt-5.4,a,default-effort,
lean-setup-import-lakefile-basic,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-setup-import-lakefile-basic,claude-opus-4.7,gpt-5.4,a,default-effort,long
lean-setup-import-lakefile-basic,claude-opus-4.7,gpt-5.5,draw,default-effort,
lean-setup-import-lakefile-basic,claude-sonnet-4.6,gpt-5.2,b,,
lean-setup-import-lakefile-basic,claude-sonnet-4.6,gpt-5.4,draw,,
lean-setup-import-lakefile-basic,claude-sonnet-4.6,gpt-5.4-mini,a,,
lean-setup-import-lakefile-basic,claude-sonnet-4.6,gpt-5.4,b,,long
lean-setup-import-lakefile-basic,claude-sonnet-4.6,gpt-5.5,b,,
lean-setup-import-lakefile-basic,gpt-5.2,gpt-5.4,a,,
lean-setup-import-lakefile-basic,gpt-5.2,gpt-5.4-mini,a,,
lean-setup-import-lakefile-basic,gpt-5.2,gpt-5.4,draw,,long
lean-setup-import-lakefile-basic,gpt-5.2,gpt-5.5,b,,
lean-setup-import-lakefile-basic,gpt-5.4,gpt-5.4-mini,a,,
lean-setup-import-lakefile-basic,gpt-5.4,gpt-5.4,b,,long
lean-setup-import-lakefile-basic,gpt-5.4,gpt-5.5,b,,
lean-setup-import-lakefile-basic,gpt-5.4-mini,gpt-5.4,b,,long
lean-setup-import-lakefile-basic,gpt-5.4-mini,gpt-5.5,b,,
lean-setup-import-lakefile-basic,gpt-5.4,gpt-5.5,b,long,
lean-setup-import-subimport,claude-haiku-4.5,claude-opus-4.7-high,a,,
lean-setup-import-subimport,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
lean-setup-import-subimport,claude-haiku-4.5,claude-sonnet-4.6,a,,
lean-setup-import-subimport,claude-haiku-4.5,gpt-5.2,draw,,
lean-setup-import-subimport,claude-haiku-4.5,gpt-5.4,draw,,
lean-setup-import-subimport,claude-haiku-4.5,gpt-5.4-mini,a,,
lean-setup-import-subimport,claude-haiku-4.5,gpt-5.4,draw,,long
lean-setup-import-subimport,claude-haiku-4.5,gpt-5.5,draw,,
lean-setup-import-subimport,claude-opus-4.7-high,claude-opus-4.7,b,,default-effort
lean-setup-import-subimport,claude-opus-4.7-high,claude-sonnet-4.6,a,,
lean-setup-import-subimport,claude-opus-4.7-high,gpt-5.2,b,,
lean-setup-import-subimport,claude-opus-4.7-high,gpt-5.4,b,,
lean-setup-import-subimport,claude-opus-4.7-high,gpt-5.4-mini,draw,,
lean-setup-import-subimport,claude-opus-4.7-high,gpt-5.4,b,,long
lean-setup-import-subimport,claude-opus-4.7-high,gpt-5.5,b,,
lean-setup-import-subimport,claude-opus-4.7,claude-sonnet-4.6,a,default-effort,
lean-setup-import-subimport,claude-opus-4.7,gpt-5.2,draw,default-effort,
lean-setup-import-subimport,claude-opus-4.7,gpt-5.4,draw,default-effort,
lean-setup-import-subimport,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-setup-import-subimport,claude-opus-4.7,gpt-5.4,draw,default-effort,long
lean-setup-import-subimport,claude-opus-4.7,gpt-5.5,a,default-effort,
lean-setup-import-subimport,claude-sonnet-4.6,gpt-5.2,b,,
lean-setup-import-subimport,claude-sonnet-4.6,gpt-5.4,b,,
lean-setup-import-subimport,claude-sonnet-4.6,gpt-5.4-mini,b,,
lean-setup-import-subimport,claude-sonnet-4.6,gpt-5.4,b,,long
lean-setup-import-subimport,claude-sonnet-4.6,gpt-5.5,b,,
lean-setup-import-subimport,gpt-5.2,gpt-5.4,draw,,
lean-setup-import-subimport,gpt-5.2,gpt-5.4-mini,a,,
lean-setup-import-subimport,gpt-5.2,gpt-5.4,draw,,long
lean-setup-import-subimport,gpt-5.2,gpt-5.5,draw,,
lean-setup-import-subimport,gpt-5.4,gpt-5.4-mini,a,,
lean-setup-import-subimport,gpt-5.4,gpt-5.4,draw,,long
lean-setup-import-subimport,gpt-5.4,gpt-5.5,draw,,
lean-setup-import-subimport,gpt-5.4-mini,gpt-5.4,b,,long
lean-setup-import-subimport,gpt-5.4-mini,gpt-5.5,b,,
lean-setup-import-subimport,gpt-5.4,gpt-5.5,draw,long,
lean-setup-import-toolchain-pin,claude-haiku-4.5,claude-opus-4.7-high,draw,,
lean-setup-import-toolchain-pin,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
lean-setup-import-toolchain-pin,claude-haiku-4.5,claude-sonnet-4.6,draw,,
lean-setup-import-toolchain-pin,claude-haiku-4.5,gpt-5.2,a,,
lean-setup-import-toolchain-pin,claude-haiku-4.5,gpt-5.4,draw,,
lean-setup-import-toolchain-pin,claude-haiku-4.5,gpt-5.4-mini,a,,
lean-setup-import-toolchain-pin,claude-haiku-4.5,gpt-5.4,b,,long
lean-setup-import-toolchain-pin,claude-haiku-4.5,gpt-5.5,draw,,
lean-setup-import-toolchain-pin,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-setup-import-toolchain-pin,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
lean-setup-import-toolchain-pin,claude-opus-4.7-high,gpt-5.2,a,,
lean-setup-import-toolchain-pin,claude-opus-4.7-high,gpt-5.4,draw,,
lean-setup-import-toolchain-pin,claude-opus-4.7-high,gpt-5.4-mini,a,,
lean-setup-import-toolchain-pin,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-setup-import-toolchain-pin,claude-opus-4.7-high,gpt-5.5,draw,,
lean-setup-import-toolchain-pin,claude-opus-4.7,claude-sonnet-4.6,draw,default-effort,
lean-setup-import-toolchain-pin,claude-opus-4.7,gpt-5.2,a,default-effort,
lean-setup-import-toolchain-pin,claude-opus-4.7,gpt-5.4,draw,default-effort,
lean-setup-import-toolchain-pin,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-setup-import-toolchain-pin,claude-opus-4.7,gpt-5.4,draw,default-effort,long
lean-setup-import-toolchain-pin,claude-opus-4.7,gpt-5.5,a,default-effort,
lean-setup-import-toolchain-pin,claude-sonnet-4.6,gpt-5.2,a,,
lean-setup-import-toolchain-pin,claude-sonnet-4.6,gpt-5.4,draw,,
lean-setup-import-toolchain-pin,claude-sonnet-4.6,gpt-5.4-mini,a,,
lean-setup-import-toolchain-pin,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-setup-import-toolchain-pin,claude-sonnet-4.6,gpt-5.5,draw,,
lean-setup-import-toolchain-pin,gpt-5.2,gpt-5.4,b,,
lean-setup-import-toolchain-pin,gpt-5.2,gpt-5.4-mini,a,,
lean-setup-import-toolchain-pin,gpt-5.2,gpt-5.4,b,,long
lean-setup-import-toolchain-pin,gpt-5.2,gpt-5.5,b,,
lean-setup-import-toolchain-pin,gpt-5.4,gpt-5.4-mini,a,,
lean-setup-import-toolchain-pin,gpt-5.4,gpt-5.4,draw,,long
lean-setup-import-toolchain-pin,gpt-5.4,gpt-5.5,draw,,
