case_id,model_a,model_b,winner,reasoning_effort_a,reasoning_effort_b
lean-doc-improvement-smoke,claude-haiku-4.5,gpt-5.5,b,,
lean-doc-improvement-smoke,claude-opus-4.7-high,gpt-5.5,b,,
lean-doc-improvement-smoke,claude-opus-4.7,gpt-5.5,b,default-effort,
lean-doc-improvement-smoke,claude-sonnet-4.6,gpt-5.5,b,,
lean-doc-improvement-smoke,gpt-5.2,gpt-5.5,b,,
lean-doc-improvement-smoke,gpt-5.4,gpt-5.5,b,,
lean-doc-improvement-smoke,gpt-5.4-mini,gpt-5.5,b,,
lean-doc-improvement-smoke,gpt-5.4,gpt-5.5,b,long,
lean-doc-requirements-smoke,claude-haiku-4.5,gpt-5.5,b,,
lean-doc-requirements-smoke,claude-opus-4.7-high,gpt-5.5,b,,
lean-doc-requirements-smoke,claude-opus-4.7,gpt-5.5,b,default-effort,
lean-doc-requirements-smoke,claude-sonnet-4.6,gpt-5.5,b,,
lean-doc-requirements-smoke,gpt-5.2,gpt-5.5,b,,
lean-doc-requirements-smoke,gpt-5.4,gpt-5.5,b,,
lean-doc-requirements-smoke,gpt-5.4-mini,gpt-5.5,b,,
lean-doc-requirements-smoke,gpt-5.4,gpt-5.5,b,long,
lean-setup-import,claude-haiku-4.5,gpt-5.5,a,,
lean-setup-import,claude-opus-4.7-high,gpt-5.5,draw,,
lean-setup-import,claude-sonnet-4.6,gpt-5.5,b,,
lean-quality-no-sorry,claude-haiku-4.5,gpt-5.5,b,,
lean-quality-no-sorry,claude-opus-4.7-high,gpt-5.5,draw,,
lean-quality-no-sorry,claude-sonnet-4.6,gpt-5.5,b,,
mathlib-lookup-finset,claude-haiku-4.5,gpt-5.5,b,,
mathlib-lookup-finset,claude-opus-4.7-high,gpt-5.5,draw,,
mathlib-lookup-finset,claude-sonnet-4.6,gpt-5.5,b,,
